Hub	BAM	BED	BigBed	BigWig	CRAM	VCFTabix	
SRP049386	0	0	0	0	3	0	
SRP049951	0	0	0	0	16	0	
SRP064346	0	0	0	0	239	0	
SRP026531	0	0	0	0	6	0	
SRP018331	0	0	0	0	3	0	
SRP040984	0	0	0	0	2	0	
SRP040597	0	0	0	0	8	0	
SRP042237	0	0	0	0	11	0	
SRP059539	0	0	0	0	7	0	
SRP017256	0	0	0	0	9	0	
SRP050392	0	0	0	0	4	0	
ERP008777	0	0	0	0	1	0	
SRP041593	0	0	0	0	17	0	
SRP059384	0	0	0	0	12	0	
ERP004034	0	0	0	0	5	0	
miRcodeHub	0	0	2	0	0	0	
SRP034742	0	0	0	0	9	0	
SRP013744	0	0	0	0	36	0	
SRP049163	0	0	0	0	4	0	
SRP041992	0	0	0	0	6	0	
SRP048209	0	0	0	0	3	0	
SRP026463	0	0	0	0	1	0	
SRP037559	0	0	0	0	65	0	
ERP008786	0	0	0	0	1	0	
SRP035272	0	0	0	0	12	0	
SRP056903	0	0	0	0	2	0	
ERP008763	0	0	0	0	1	0	
SRP028137	0	0	0	0	12	0	
SRP030121	0	0	0	0	32	0	
SRP012163	0	0	0	0	7	0	
SRP026399	0	0	0	0	12	0	
SRP055765	0	0	0	0	2	0	
SRP026703	0	0	0	0	6	0	
SRP014482	0	0	0	0	68	0	
SRP054169	0	0	0	0	1	0	
SRP063878	0	0	0	0	16	0	
SRP041864	0	0	0	0	4	0	
SRP052011	0	0	0	0	2	0	
SRP051764	0	0	0	0	24	0	
SRP056035	0	0	0	0	12	0	
SRP051185	0	0	0	0	6	0	
SRP030399	0	0	0	0	10	0	
SRP051572	0	0	0	0	15	0	
SRP011279	0	0	0	0	4	0	
SRP047347	0	0	0	0	6	0	
SRP058527	0	0	0	0	6	0	
SRP032830	0	0	0	0	6	0	
SRP064782	0	0	0	0	12	0	
SRP017543	0	0	0	0	2	0	
SRP065916	0	0	0	0	5	0	
SRP014577	0	0	0	0	5	0	
SRP013449	0	0	0	0	6	0	
ERP008809	0	0	0	0	1	0	
SRP052697	0	0	0	0	32	0	
SRP033573	0	0	0	0	4	0	
SRP060325	0	0	0	0	2	0	
SRP040690	0	0	0	0	8	0	
SRP028132	0	0	0	0	4	0	
SRP039045	0	0	0	0	3	0	
DRP001762	0	0	0	0	1	0	
SRP047482	0	0	0	0	4	0	
SRP017638	0	0	0	0	16	0	
SRP028304	0	0	0	0	5	0	
SRP032990	0	0	0	0	2	0	
SRP013982	0	0	0	0	1	0	
SRP015983	0	0	0	0	9	0	
SRP007763	0	0	0	0	5	0	
SRP010124	0	0	0	0	16	0	
SRP042122	0	0	0	0	3	0	
SRP003799	0	0	0	0	35	0	
SRP017158	0	0	0	0	1	0	
SRP028766	0	0	0	0	125	0	
ERP013042	0	0	0	0	2	0	
SRP058975	0	0	0	0	36	0	
SRP058022	0	0	0	0	10	0	
SRP048958	0	0	0	0	16	0	
SRP006703	0	0	0	0	42	0	
SRP057022	0	0	0	0	24	0	
SRP012576	0	0	0	0	24	0	
SRP041897	0	0	0	0	3	0	
SRP032461	0	0	0	0	1	0	
DRP002301	0	0	0	0	7	0	
SRP040811	0	0	0	0	8	0	
SRP008262	0	0	0	0	4	0	
SRP012567	0	0	0	0	4	0	
SRP031787	0	0	0	0	46	0	
SRP042272	0	0	0	0	6	0	
SRP006766	0	0	0	0	7	0	
SRP026082	0	0	0	0	6	0	
SRP013533	0	0	0	0	12	0	
ERP008790	0	0	0	0	1	0	
SRP026540	0	0	0	0	22	0	
SRP011579	0	0	0	0	1	0	
SRP013873	0	0	0	0	24	0	
SRP041017	0	0	0	0	21	0	
AWG_Hub	0	0	1347	1156	0	0	
SRP056568	0	0	0	0	3	0	
ERP002233	0	0	0	0	20	0	
SRP028357	0	0	0	0	113	0	
DRP001141	0	0	0	0	12	0	
DRP001334	0	0	0	0	8	0	
ERP008810	0	0	0	0	1	0	
Blueprint_Hub_20150820	0	0	821	1433	0	0	
SRP017475	0	0	0	0	1	0	
SRP042365	0	0	0	0	6	0	
SRP011086	0	0	0	0	6	0	
SRP017757	0	0	0	0	8	0	
SRP049347	0	0	0	0	17	0	
SRP054056	0	0	0	0	21	0	
ERP001573	0	0	0	0	10	0	
DRP002585	0	0	0	0	9	0	
Blueprint_Hub_20150128	0	0	581	861	0	0	
SRP022869	0	0	0	0	8	0	
SRP006767	0	0	0	0	10	0	
SRP059912	0	0	0	0	12	0	
SRP050315	0	0	0	0	10	0	
SRP010642	0	0	0	0	10	0	
SRP066684	0	0	0	0	3	0	
ERP003480	0	0	0	0	2	0	
SRP048204	0	0	0	0	2	0	
SRP052802	0	0	0	0	3	0	
SRP002288	0	0	0	0	5	0	
SRP008822	0	0	0	0	3	0	
SRP022036	0	0	0	0	2	0	
SRP018088	0	0	0	0	88	0	
SRP017099	0	0	0	0	4	0	
DRP001148	0	0	0	0	2	0	
SRP010947	0	0	0	0	1	0	
